exp_id,dataset,chunk_size,lr,batch_size,steps,mean_action_error,final_loss,success_rate,avg_steps,failure_mode,video_path,notes
E0,datasets/demo_v5_30demos_random,50,0.0001,4,1000,0.1396,0.8875,0.00,0.0,native_crash,,默认 ACT 配置在随机初始位置数据上的离线误差和闭环表现。
E1,datasets/demo_v5_30demos_random,25,0.0001,4,3000,0.1795,0.2778,0.00,120.0,max_steps,/mnt/d/Desktop/vla_learning/experiments/act_tuning/videos/E1/deployment_20260606_205442.mp4,动作块较短时是否更容易短视和反复修正。
E2,datasets/demo_v5_30demos_random,50,0.0001,4,300,0.1468,2.2926,,,manual_review,,动作块 50 作为 baseline 复现实验，用于和 E1/E3 对齐。
E3,datasets/demo_v5_30demos_random,100,0.0001,4,3000,0.1719,0.2940,0.00,0.0,native_crash,,动作块较长时是否导致预测后段漂移。
E4,datasets/demo_v5_30demos_random,50,5e-05,4,6000,0.0326,0.1241,0.00,80.0,max_steps+native_crash,/mnt/d/Desktop/vla_learning/experiments/act_tuning/videos/E4/deployment_20260606_212536.mp4,较小学习率是否提升训练稳定性但收敛更慢。
E5,datasets/demo_v5_30demos_random,50,0.0001,4,300,0.1453,2.1713,,,manual_review,,默认学习率复现实验，用于和 E4/E6 对齐。
E6,datasets/demo_v5_30demos_random,50,0.0002,4,6000,0.1853,0.1952,0.00,40.0,max_steps+native_crash,/mnt/d/Desktop/vla_learning/experiments/act_tuning/videos/E6/deployment_20260606_220644.mp4,较大学习率是否降低收敛时间但带来动作抖动。
E7,datasets/demo_v1_3demos_fixed,50,0.0001,4,3000,0.1394,0.3146,,,manual_review,,少量固定示范是否导致明显过拟合。
E8,datasets/demo_v2_50demos_fixed,50,0.0001,4,3000,0.1372,0.2023,0.00,0.0,native_crash,,固定初始位置的大数据量能否降低离线误差但泛化不足。
E9,datasets/demo_v5_30demos_random,50,0.0001,4,6000,0.1709,0.2259,0.00,40.0,max_steps+native_crash,/mnt/d/Desktop/vla_learning/experiments/act_tuning/videos/E9/deployment_20260606_220731.mp4,随机初始位置示范是否提升闭环泛化。
E10,datasets/demo_v5_30demos_random,50,1e-4,64,,,,0.00,120.0,max_steps,/mnt/d/Desktop/vla_learning/experiments/act_tuning/videos/E10/deployment_20260606_172034.mp4,较弱时间集成是否响应更快但更抖动。
E11,datasets/demo_v5_30demos_random,50,1e-4,64,,,,0.00,120.0,max_steps,/mnt/d/Desktop/vla_learning/experiments/act_tuning/videos/E11/deployment_20260606_173100.mp4,较强时间集成是否降低抖动但可能响应滞后。
